ADA,A11,B11,C11,D11,E11,F11,G11,H11,I11,ctEstab11,maxSIC11,maxCode11,entropy11,price11,price11c,price11cn,P(HQ)11,P(SL)11,P(BR)11,P(SB)11,S1_11,S2_11,S3_11,S4_11,S5_11,S6_11,S7_11,S8_11,A11Area,B11Area,C11Area,D11Area,E11Area,F11Area,G11Area,H11Area,I11Area,A16,B16,C16,D16,E16,F16,G16,H16,I16,ctEstab16,maxSIC16,maxCode16,entropy16,price16,price16c,price16cn,P(HQ)16,P(SL)16,P(BR)16,P(SB)16,S1_16,S2_16,S3_16,S4_16,S5_16,S6_16,S7_16,S8_16,A16Area,B16Area,C16Area,D16Area,E16Area,F16Area,G16Area,H16Area,I16Area
35200321,0.375237336,1.48E+01,3.189495122,6.003753096,6.37898743,48.40525328,6.37898743,14.25891182,0.187620263,533,10,10,1.440223094,5.175542552,5.175542552,0.518224239,4.95E-01,9.11E+01,8.415841584,0.00E+00,64.70588235,15.03267974,9.803921569,8.496732026,1.307189542,0.653594771,0,2.00E-09,1.09E+00,4.32E+01,9.30E+00,1.75E+01,1.86E+01,1.41E+02,1.86E+01,4.16E+01,5.47E-01,9.15E-06,7.189547712,6.535953595,8.496736601,5.228763399,46.40523007,9.150330065,16.99346797,9.15E-06,153,6,10,0.620992267,8.016824864,8.016824864,0.687060425,0.826446281,87.60330579,11.57024793,0,71.97802198,15.38461538,7.142857143,3.296703297,1.648351648,0.549450549,0,3.00E-09,7.66E-06,6.020803503,5.473458675,7.115493706,4.378767378,38.86152271,7.662837986,14.23098303,7.66E-06
35200318,3.11E-06,2.28E+01,7.772021244,7.772020725,8.290155959,32.12435233,5.699482902,15.54404145,3.11E-06,193,10,10,1.402711471,4.621195564,4.621195564,4.63E-01,0.00E+00,9.78E+01,2.197802198,2.20E-03,63.75,17.5,7.5,8.75,0,2.5,0,0.00E+00,1.64E-06,1.20E+01,4.11E+00,4.11E+00,4.38E+00,1.70E+01,3.01E+00,8.21E+00,1.64E-06,2.05E-06,8.48E+00,14.61988363,7.894737135,18.71345117,28.65497076,6.725146491,14.61988363,0.292399415,342,6,10,1.464028543,11.5124916,11.5124916,0.986647145,3.03030303,88.78787879,7.272727273,0.909090907,42.50681199,17.71117166,13.6239782,14.71389646,5.449591281,3.542234332,1.907356948,0.544959129,1.92E-06,7.938680537,13.68738078,7.391185601,17.51984752,26.82726526,6.296195182,13.68738078,0.273749247
35200325,3.27E-06,2.26E+01,1.907358583,6.811990463,9.264305722,4.11E+01,5.177112534,13.07901907,3.27E-06,367,6,6,1.783602924,5.212923361,5.212923361,5.22E-01,0.00E+00,9.44E+01,5.555555556,4.44E-02,6.82E+01,18.93939394,6.818181818,5.303030303,0.757575758,0,0,0.00E+00,7.03E-06,4.87E+01,4.10E+00,1.47E+01,1.99E+01,8.85E+01,1.11E+01,2.81E+01,7.03E-06,7.27E-06,1.73E+01,2.727277273,10.90909273,8.181821818,38.18181818,8.181820909,14.54545545,7.27E-06,110,6,10,0.864185128,7.766775938,7.766775938,0.665630654,0,92.94117647,7.058823529,1.00E-09,72.26890756,18.48739496,6.722689076,1.680672269,0,0,0.840336134,1.00E-09,4.69E-06,11.13716354,1.758502345,7.033998828,5.275500586,24.61899179,5.2755,9.378664127,4.69E-06
35200323,3.06E-06,12.07951116,4.434252141,9.480122936,8.562691743,46.48318058,5.504588226,13.4556578,3.06E-06,654,10,10,1.650370797,5.132091794,5.132091794,0.513873539,0.471698113,9.25E+01,7.075471698,0.00E+00,59.75609756,20.32520325,10.16260163,5.284552846,3.25203252,0.81300813,0,4.07E-01,5.84E-06,2.31E+01,8.46E+00,1.81E+01,1.63E+01,8.87E+01,1.05E+01,2.57E+01,5.84E-06,7.04E-06,1.37E+01,5.985919718,11.9718338,8.09859507,31.6901412,11.2676088,17.25352254,7.04E-06,284,6,10,0.858231363,9.241490202,9.241490202,0.792017075,0.923076923,88.92307692,10.15384615,7.00E-09,65.93059937,16.7192429,8.201892744,5.993690852,2.208201893,0.630914826,0,0.315457415,5.84E-06,11.3835397,4.962058377,9.924112084,6.713371278,26.26970257,9.340341214,14.30239463,5.84E-06
35200326,0.204921721,1.17E+01,1.22951127,9.426229918,11.68032828,43.85245902,4.303280328,17.62295102,3.89E-06,488,6,6,1.59379327,6.047045508,6.047045508,0.605487353,4.69E-01,9.01E+01,9.389671362,4.13E-02,69.375,9.375,11.25,5,3.75,1.25,0,0.00E+00,4.50E-01,2.56E+01,2.70E+00,2.07E+01,2.56E+01,9.63E+01,9.45E+00,3.87E+01,8.55E-06,9.74E-06,1.08E+01,3.076930256,13.84615795,11.79487641,31.79487231,7.179491795,21.53846462,9.74E-06,195,6,10,0.727761157,8.835768352,8.835768352,0.757245775,0.609756098,86.58536585,12.80487805,2.00E-09,70.69767442,12.55813953,10.23255814,3.720930233,2.325581395,0.465116279,0,3.00E-09,8.55E-06,9.446695906,2.699061628,12.14575259,10.34638282,27.89023887,6.29779982,18.89339001,8.55E-06
35200110,0.199778446,15.42730302,11.4761378,7.280799223,11.87569372,40.66592677,1.908990189,11.1653719,4.66E-07,4505,6,6,1.72543908,4.591954353,4.591954353,0.459789873,0.684462697,9.56E+01,3.559206023,1.56E-01,44.29180483,19.65892942,15.91662719,11.98484131,4.405495026,2.321174799,1.042160114,3.79E-01,1.13E+00,8.74E+01,6.50E+01,4.12E+01,6.72E+01,2.30E+02,1.08E+01,6.32E+01,2.64E-06,9.50E-07,1.55E+01,21.50259128,8.117443955,15.97582047,18.65284974,2.504318221,17.70293627,9.50E-07,1158,3,10,1.73916215,6.608923076,6.608923076,0.566399987,1.00456621,94.52054795,4.109589041,0.365296799,48.90864996,18.6742118,12.85367825,11.80274859,4.284559418,2.021018593,1.131770412,0.323362977,1.38E-06,22.62443464,31.29713512,11.81498253,23.25289103,27.14932127,3.645048391,25.76671719,1.38E-06
35200138,3.33E-06,1.30E+01,2.000001667,10.333334,26.66666667,24.66666667,4.666669,18.66666667,3.33E-06,300,10,10,1.394336819,3.96105806,3.96105806,3.97E-01,0.00E+00,9.54E+01,4.580152672,1.98E-02,68.75,16.96428571,9.821428571,3.571428571,0,0,0.892857143,5.00E-09,6.44E-06,2.51E+01,3.86E+00,2.00E+01,5.15E+01,4.76E+01,9.01E+00,3.61E+01,6.44E-06,4.76E-06,5.71E+00,0.952384762,8.571430476,20,22.85714286,13.33333524,28.57142857,4.76E-06,105,8,10,0.579730223,13.54009516,13.54009516,1.160417458,0,92.78350515,7.216494845,5.00E-09,60.86956522,20,14.7826087,1.739130435,1.739130435,0,0.869565217,0,3.22E-06,3.863491307,0.643917579,5.795236317,13.52221507,15.45396008,9.014811333,19.3174501,3.22E-06
35200196,0.133156059,8.255659188,8.85486032,6.49134494,23.23568575,39.28095872,1.83089221,11.91744348,3.66E-07,3004,6,6,1.813585931,8.155837936,8.155837936,0.816639583,2.129120879,85.71428571,11.33241758,8.24E-01,34.67694132,17.60521636,14.81920569,17.07172496,7.113218731,5.097806758,2.074688797,1.54E+00,2.31E-01,1.43E+01,1.53E+01,1.12E+01,4.02E+01,6.80E+01,3.17E+00,2.06E+01,6.34E-07,0.22573386,10.75997005,10.68472566,9.93227991,23.17531979,25.13167795,4.213694507,15.8013544,0.075244846,1329,6,10,1.888879385,16.92246674,16.92246674,1.450294522,2.93040293,83.6996337,12.36263736,1.00732601,37.68953069,18.55595668,14.15162455,15.5234657,7.653429603,3.104693141,2.454873646,0.86642599,0.172910836,8.242075043,8.184438271,7.608069164,17.75216138,19.25072046,3.227665706,12.1037464,0.057637118
35200199,0.535716429,2.13E+01,3.214286786,10.00000018,12.85714304,37.67857143,3.571429464,10.89285732,2.50E-06,560,6,6,1.689905827,4.418495233,4.418495233,0.442421506,9.30E-01,85.11627907,13.95348837,2.33E-04,58.06451613,20.73732719,9.216589862,8.294930876,1.843317972,0.921658986,0.921658986,0.00E+00,7.00E-01,2.78E+01,4.20E+00,1.31E+01,1.68E+01,4.92E+01,4.67E+00,1.42E+01,3.27E-06,0.507618274,17.76649797,4.568529949,18.2741132,10.65989949,26.90355381,4.568529949,16.75126904,4.57E-06,197,6,10,0.840298947,7.168500752,7.168500752,0.614357087,1.428571429,75.71428571,22.14285714,0.714285721,58.85167464,17.70334928,10.04784689,8.612440191,2.392344498,1.435406699,0.4784689,0.478468902,0.23326522,8.164217635,2.099371122,8.397481456,4.898530907,12.36295801,2.099371122,7.697690693,2.10E-06
35200134,1.86E-06,1.49E+01,12.26765911,6.133829926,11.33829033,42.37918216,1.486989963,11.52416375,1.86E-06,538,6,6,1.634260975,3.512090806,3.512090806,3.52E-01,1.32E+00,9.50E+01,3.630363036,4.96E-02,45.73991031,19.7309417,16.59192825,10.31390135,4.035874439,1.793721973,1.34529148,4.48E-01,3.45E-06,2.76E+01,2.28E+01,1.14E+01,2.10E+01,7.87E+01,2.76E+00,2.14E+01,3.45E-06,3.26E-06,1.72E+01,19.53488605,6.046513023,14.88372186,17.20930279,4.186048372,20.93023256,3.26E-06,215,8,10,1.274840003,6.90506966,6.90506966,0.591780433,0.816326531,92.24489796,6.530612245,0.408163264,47.21030043,17.59656652,15.02145923,12.87553648,3.862660944,2.145922747,0.858369099,0.42918455,2.42E-06,12.76742616,14.49275535,4.485853347,11.04209869,12.76742616,3.105591442,15.52795031,2.42E-06
