ID,bedroom,house_area,houseID,list_days,parkID,price_int,price_sold_int,washroom,year,ADA,clusterID
16784,2,849,2,5,1,224900,223000,2,2011,35200001,10
23765,2,949,2,46,2,209900,206000,1,2011,35200001,10
28058,2,999,2,20,1,224900,220000,2,2011,35200001,10
30119,3,1099,2,31,2,269000,261000,2,2011,35200001,10
30123,3,1099,2,51,2,239900,225000,2,2011,35200001,10
30124,3,1099,2,15,1,245000,240000,2,2011,35200001,10
36165,3,1199,2,20,2,239000,242000,3,2011,35200001,10
37875,3,1299,2,24,1,279900,271500,3,2011,35200001,10
54513,3,1399,2,23,2,239900,234250,3,2011,35200001,10
55457,3,1499,2,34,1,279900,271500,3,2011,35200001,10
67718,3,1750,1,10,1,499000,490000,3,2011,35200001,10
67720,4,1750,3,9,1,459900,450000,4,2011,35200001,10
67721,3,1750,2,14,1,374500,356000,3,2011,35200001,10
67722,3,1750,2,16,1,394800,375000,3,2011,35200001,10
67723,3,1750,1,13,1,475000,472000,3,2011,35200001,10
67724,3,1750,3,7,1,399900,437000,4,2011,35200001,10
67725,3,1750,2,14,1,384800,395000,3,2011,35200001,10
67726,4,1750,1,41,1,509900,500000,3,2011,35200001,10
67727,3,1750,2,63,1,349900,344000,3,2011,35200001,10
67728,3,1750,3,9,1,384900,384900,3,2011,35200001,10
67729,3,1750,3,13,1,399000,400000,3,2011,35200001,10
67730,4,1750,1,6,1,499000,510000,4,2011,35200001,10
67731,3,1750,3,7,1,419900,422000,3,2011,35200001,10
67732,3,1750,3,5,1,419900,417000,4,2011,35200001,10
67733,3,1750,2,8,1,349900,343500,3,2011,35200001,10
67734,3,1750,3,7,1,369900,439000,3,2011,35200001,10
67736,3,1750,2,44,1,355800,350600,3,2011,35200001,10
67738,4,1750,3,6,1,429900,435000,3,2011,35200001,10
67739,3,1750,2,1,1,339000,356250,3,2011,35200001,10
67740,3,1750,2,26,1,358900,348000,3,2011,35200001,10
86780,4,2250,1,6,1,569900,570000,4,2011,35200001,10
86782,4,2250,1,10,1,599000,575000,3,2011,35200001,10
99498,5,2750,2,23,1,484900,478000,3,2011,35200001,10
99500,5,2750,1,13,1,609900,596000,4,2011,35200001,10
99501,6,2750,2,17,1,489900,482000,3,2011,35200001,10
99503,5,2750,2,2,1,479900,476000,4,2011,35200001,10
99509,5,2750,2,1,1,444900,444500,3,2011,35200001,10
99510,4,2750,1,18,1,569900,549000,3,2011,35200001,10
99513,5,2750,2,15,1,444900,443000,3,2011,35200001,10
99514,5,2750,2,16,1,439900,437000,3,2011,35200001,10
46500,3,1300,2,4,1,329900,335000,3,2011,35200002,1
46501,3,1300,2,3,1,319000,330500,3,2011,35200002,1
67389,4,1750,1,15,1,449900,445000,3,2011,35200002,1
67390,3,1750,2,9,2,399900,408000,3,2011,35200002,1
67391,3,1750,2,7,2,399000,389000,3,2011,35200002,1
67401,3,1750,1,14,1,509900,501000,4,2011,35200002,1
67402,4,1750,2,16,1,415000,396000,4,2011,35200002,1
67404,4,1750,3,17,1,429000,429000,3,2011,35200002,1
67406,3,1750,1,16,1,499900,518000,3,2011,35200002,1
67408,3,1750,3,5,1,439900,432500,4,2011,35200002,1
67411,3,1750,3,4,1,439900,433000,3,2011,35200002,1
67414,4,1750,1,10,1,524500,515000,3,2011,35200002,1
67417,3,1750,2,5,1,365000,395000,3,2011,35200002,1
67418,4,1750,2,11,2,389000,385000,3,2011,35200002,1
67420,3,1750,3,1,1,429900,435200,3,2011,35200002,1
67421,3,1750,2,14,1,399900,397500,3,2011,35200002,1
67424,4,1750,1,32,1,365000,370000,3,2011,35200002,1
67425,3,1750,2,1,2,389900,394000,3,2011,35200002,1
67426,3,1750,1,34,1,439700,430500,3,2011,35200002,1
67429,3,1750,2,7,1,399900,425000,4,2011,35200002,1
67433,3,1750,3,0,1,419900,419900,4,2011,35200002,1
67434,3,1750,1,22,1,509999,490000,3,2011,35200002,1
67435,4,1750,2,5,2,414900,430000,4,2011,35200002,1
67436,3,1750,2,12,1,389900,387000,3,2011,35200002,1
67442,3,1750,1,3,1,453000,464000,3,2011,35200002,1
67443,3,1750,1,13,1,479900,464550,3,2011,35200002,1
67444,3,1750,1,14,1,424900,420000,3,2011,35200002,1
67445,4,1750,1,7,1,435900,446000,4,2011,35200002,1
86572,4,2250,2,20,1,439900,420000,3,2011,35200002,1
86573,4,2250,1,15,1,589900,582000,3,2011,35200002,1
86574,4,2250,1,11,1,549000,549500,3,2011,35200002,1
86575,4,2250,1,6,1,529000,520000,4,2011,35200002,1
86576,4,2250,1,6,1,549900,560000,3,2011,35200002,1
86577,4,2250,1,36,1,569900,545000,3,2011,35200002,1
86578,4,2250,1,72,1,549900,535000,4,2011,35200002,1
86579,4,2250,1,64,1,544900,516000,3,2011,35200002,1
86580,4,2250,1,4,1,529000,530500,4,2011,35200002,1
86581,3,2250,1,27,1,559900,549900,3,2011,35200002,1
86582,4,2250,1,5,1,489000,489000,3,2011,35200002,1
86584,4,2250,1,4,1,539900,560000,3,2011,35200002,1
86589,4,2250,2,1,1,429900,430400,3,2011,35200002,1
86591,3,2250,1,7,1,499900,533100,3,2011,35200002,1
86593,4,2250,1,6,1,500000,535100,4,2011,35200002,1
86595,3,2250,1,17,1,549900,549000,3,2011,35200002,1
86598,4,2250,1,7,1,490000,510510,3,2011,35200002,1
86599,4,2250,1,8,1,499900,481000,3,2011,35200002,1
86600,4,2250,1,14,1,499900,478000,3,2011,35200002,1
99384,4,2750,1,8,1,499800,580000,4,2011,35200002,1
